skill,count,percentage
SQL,2960,38.591916558018255
PostgreSQL,636,8.292046936114733
Snowflake,563,7.340286831812255
NoSQL,499,6.50586701434159
Oracle,467,6.088657105606258
SQL Server,368,4.797913950456324
MySQL,343,4.471968709256845
MongoDB,328,4.276401564537157
Redshift,278,3.6245110821382007
BigQuery,209,2.72490221642764
Redis,133,1.7340286831812255
Elasticsearch,113,1.4732724902216427
Cassandra,86,1.121251629726206
Pinecone,42,0.5475880052151239
Neo4j,28,0.3650586701434159
SQLite,27,0.3520208604954368
Weaviate,19,0.24771838331160365
Milvus,10,0.1303780964797914
Memcached,9,0.11734028683181226
InfluxDB,4,0.05215123859191656
